title,pov_neg
"김윤 삼양홀딩스 회장, 지난해 보수 21억원",0
"[실적점검] 삼양홀딩스, '21. 4Q 영업이익 311억원.. PER 3배",0
"삼양그룹, 동해안 산불 피해 복구에 2억원 기부",0
"삼양홀딩스, 미용 필러 '라풀렌' 수출 채비  ",0
"삼양그룹, 동해안 산불 피해 복구 동참 ",0
[라이센스 식음료 PICK] 삼양그룹· 오뚜기· CJ제일제당 外,0
"난공불락 항암제 시장, 국내 개발 제네릭 속속 침투",0
"[수급과 가치] 삼양홀딩스, 52주 최저가 기록.. PER 2.8배",0
"삼양홀딩스 바이오팜그룹, 항암제 '아자시티딘주' 일본 품목허가 획득",0
"삼양홀딩스 바이오팜그룹, ‘아자시티딘주’ 日 허가",0
"유한양행, 동해안 산불 피해 이재민에 구호물품 지원",0
"이종호 JW그룹 명예회장, 대한민국 약업대상 수상",0
"유한양행, 동해안 산불 피해지역 이재민 지원 나서",0
"유한양행·GC셀·종근당, 펫 헬스케어 사업 순항",0
"유한양행 주가 0.17%↑...""전진바이오팜과 ODM 공급계약""",0
[이BIO] 유한양행·일동바이오사이언스·보령제약 외,0
전통제약사 매출 1위 유한양행…2조원대 넘본다,0
"유한양행, 제99기 정기주주총회 개최",0
전통제약사 매출 1위 유한양행…2조원대 넘본다,0
유한양행·bhc·엔제리너스 등 강원도 산불피해 이재민 지원에 팔 걷어 붙여,0
"유한양행, 지난해 매출 1조6878억원을 기록",0
"유한양행, VIP동물의료센터와 상호협력 MOU",0
"[특징주] 하이트진로·하이트진로홀딩스, 거리두기 완화·주류 가격 인상에 주...",0
"[코스피]유한양행‧쌍용C&E‧SK하이닉스, 은행 순매수 'TOP3'",0
"유한양행, 골프 국가대표 상비군 출신 김민주ㆍ이연서 후원",0
“도대체 오르지 않은 것이 뭐야”…역대급 물가에 서민들 '비명',0
셀트리온 유한양행 삼바…'2조 클럽' 넘본다,0
[특징주] 하이트진로홀딩스·하이트진로2우B 급등 '1분기 매출 급증',0
"[저가근접] 이스트아시아홀딩스, 헝셩그룹, 동화약품, 메리츠화재, 하이트진로...",0
[이BIO] 종근당·유한양행·동화약품·차병원 외,0
"[브랜드평판] 제약 상장기업 순위, 1위 삼성바이오로직스 2위 셀트리온 3위 신...",0
"하이트진로 '참이슬' 가격 인상에…롯데칠성 ""'처음처럼' 인상 검토 중""",0
[24일 오후 특징주] 선익시스템 등 3종목 상한가‧노루홀딩스우‧삼성스펙2호...,0
"에스디바이오센서, 작년 매출 3조 육박 '1위 독주'",0
"하이트진로, 블랙보리 미국진출에 강세…하이트진로2우B·롯데칠성·하이트진...",0
"삼성바이오로직스, 제약 상장기업 브랜드평판 3월...1위",0
"하이트진로2우B, -2.43% VI 발동",0
[2일 제약바이오 소식] 유한양행·비보존 헬스케어·씨젠,0
"한국거래소, '거래 부진' 삼양홀딩스 우선주 등 내년 단일가 매매로..JW중외제...",0
"하이트진로2우B, +3.90% 상승폭 확대",0
"삼양홀딩스우, -2.35% VI 발동",0
"하이트진로2우B, +1.56% VI 발동",0
"삼양홀딩스우, +2.71% 상승폭 확대",0
"삼양홀딩스우, +1.18% 상승폭 확대",0
"삼양홀딩스우, -8.15% VI 발동",0
"삼양홀딩스우, +1.16% 상승폭 확대",0
"삼양홀딩스우, +6.22% VI 발동",0
"삼양홀딩스우, +6.99% 상승폭 확대",0
"삼양홀딩스우, +4.24% VI 발동",0
[갭상승] TOP5 흥국화재2우B·흥국화재·대덕전자1우·흥국화재우·대덕1우 웃...,0
"""맥아 포대가 가방으로""…하이트진로, 친환경 굿즈 출시",0
"하이트진로, 친환경 굿즈 ‘테라 X 큐클리프 업사이클링백’ 선보여",0
"하이트진로, 친환경 굿즈 '테라·큐클리프 업사이클링백' 선보인다",0
"하이트진로, ‘테라·큐클리프 업사이클링백’ 선봬",0
"하이트진로, 맥주 출고가 7.7% 인상",0
"""하이트진로, 올해 실적 개선 기대감 유효…목표가↑""-IBK",0
"주류값 올린 하이트진로, 2분기부터 달라진다",0
"“1년 만에 돌아왔어요”…하이트진로, 부산 서면 ‘두껍상회’ 재개관",0
"하이트진로, '청정라거-테라'로 올해 마케팅 본격 시동",0
"“하이트진로, 주류 판매량 회복 및 가격인상 효과”",0
